n_estimators,learning_rate,max_depth,min_child_samples,num_leaves,recall,precision,f1,accuracy
150,0.09,5,10,124,0.7692307692307693,0.5348413592300123,0.6308869016095808,0.7607111111111111
150,0.09,5,20,31,0.7759197324414716,0.5357924268405996,0.6337731153379511,0.7615999999999999
150,0.09,5,20,62,0.7692307692307693,0.5348413592300123,0.6308869016095808,0.7607111111111111
150,0.09,5,20,124,0.7692307692307693,0.5348413592300123,0.6308869016095808,0.7607111111111111
150,0.09,7,5,31,0.7478260869565218,0.5398717058101502,0.6269945397957928,0.7635555555555555
150,0.09,7,5,62,0.7163879598662206,0.5434505467187589,0.6179696686787539,0.7646222222222221
150,0.09,7,5,124,0.7277591973244146,0.5409295148471613,0.6204853223360204,0.7633777777777778
150,0.09,7,10,31,0.7478260869565218,0.5398717058101502,0.6269945397957928,0.7635555555555555
150,0.09,7,10,62,0.7163879598662206,0.5434505467187589,0.6179696686787539,0.7646222222222221
150,0.09,7,10,124,0.7277591973244146,0.5409295148471613,0.6204853223360204,0.7633777777777778
150,0.09,7,20,31,0.7478260869565218,0.5398717058101502,0.6269945397957928,0.7635555555555555
150,0.09,7,20,62,0.7163879598662206,0.5434505467187589,0.6179696686787539,0.7646222222222221
150,0.09,7,20,124,0.7277591973244146,0.5409295148471613,0.6204853223360204,0.7633777777777778
200,0.01,5,5,31,0.7933110367892977,0.5330597318607782,0.6375691299218483,0.7601777777777778
200,0.01,5,5,62,0.791304347826087,0.5326985927443664,0.6366400254834612,0.7598222222222222
200,0.01,5,5,124,0.791304347826087,0.5326985927443664,0.6366400254834612,0.7598222222222222
200,0.01,5,10,31,0.7933110367892977,0.5330597318607782,0.6375691299218483,0.7601777777777778
200,0.01,5,10,62,0.791304347826087,0.5326985927443664,0.6366400254834612,0.7598222222222222
200,0.01,5,10,124,0.791304347826087,0.5326985927443664,0.6366400254834612,0.7598222222222222
200,0.01,5,20,31,0.7933110367892977,0.5330597318607782,0.6375691299218483,0.7601777777777778
200,0.01,5,20,62,0.791304347826087,0.5326985927443664,0.6366400254834612,0.7598222222222222
200,0.01,5,20,124,0.791304347826087,0.5326985927443664,0.6366400254834612,0.7598222222222222
200,0.01,7,5,31,0.7832775919732441,0.5364395301135403,0.636630584406293,0.7623111111111112
200,0.01,7,5,62,0.7625418060200669,0.540093659281308,0.6321306851995551,0.7640888888888889
200,0.01,7,5,124,0.7625418060200669,0.5390403725619899,0.6314371900129553,0.7633777777777778
200,0.01,7,10,31,0.7832775919732441,0.5364395301135403,0.636630584406293,0.7623111111111112
200,0.01,7,10,62,0.7625418060200669,0.540093659281308,0.6321306851995551,0.7640888888888889
200,0.01,7,10,124,0.7625418060200669,0.5390403725619899,0.6314371900129553,0.7633777777777778
200,0.01,7,20,31,0.7832775919732441,0.5364395301135403,0.636630584406293,0.7623111111111112
200,0.01,7,20,62,0.7625418060200669,0.540093659281308,0.6321306851995551,0.7640888888888889
200,0.01,7,20,124,0.7625418060200669,0.5390403725619899,0.6314371900129553,0.7633777777777778
200,0.03,5,5,31,0.802675585284281,0.5277618622319382,0.6367423319102746,0.7566222222222222
200,0.03,5,5,62,0.8073578595317725,0.5292213994108435,0.6392980976733855,0.7578666666666667
200,0.03,5,5,124,0.8073578595317725,0.5292213994108435,0.6392980976733855,0.7578666666666667
200,0.03,5,10,31,0.802675585284281,0.5277618622319382,0.6367423319102746,0.7566222222222222
200,0.03,5,10,62,0.8073578595317725,0.5292213994108435,0.6392980976733855,0.7578666666666667
200,0.03,5,10,124,0.8073578595317725,0.5292213994108435,0.6392980976733855,0.7578666666666667
200,0.03,5,20,31,0.802675585284281,0.5277618622319382,0.6367423319102746,0.7566222222222222
200,0.03,5,20,62,0.8073578595317725,0.5292213994108435,0.6392980976733855,0.7578666666666667
200,0.03,5,20,124,0.8073578595317725,0.5292213994108435,0.6392980976733855,0.7578666666666667
200,0.03,7,5,31,0.7859531772575251,0.5329149518543291,0.6350784490118253,0.76
200,0.03,7,5,62,0.7725752508361204,0.5363673499446137,0.6330228162365616,0.7619555555555555
200,0.03,7,5,124,0.762541806020067,0.5367023664887505,0.6298041219971406,0.7617777777777778
200,0.03,7,10,31,0.7859531772575251,0.5329149518543291,0.6350784490118253,0.76
200,0.03,7,10,62,0.7725752508361204,0.5363673499446137,0.6330228162365616,0.7619555555555555
200,0.03,7,10,124,0.762541806020067,0.5367023664887505,0.6298041219971406,0.7617777777777778
200,0.03,7,20,31,0.7859531772575251,0.5329149518543291,0.6350784490118253,0.76
200,0.03,7,20,62,0.7725752508361204,0.5363673499446137,0.6330228162365616,0.7619555555555555
